Sample_ID,Architecture,Tool,Success_Status,Time_s,Mem_MB,Func_Count,Block_Count,IR_Stmt_Count
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_13_x86_64_O2.bad,x86-64,bap,Success,8.28,28.40,0,725,1800
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_13_x86_64_O2.bad,x86-64,llvm,Success,.01,9.86,0,0,828
CWE401_Memory_Leak__int_calloc_21_mips_O0.good,MIPS,ghidra,Success,7.60,700.88,115,216,4098
CWE401_Memory_Leak__int_calloc_21_mips_O0.good,MIPS,angr,Success,1.00,135.00,113,242,5108
CWE401_Memory_Leak__int_calloc_21_mips_O0.good,MIPS,bap,Success,11.03,28.20,0,1659,1496
CWE401_Memory_Leak__int_calloc_21_mips_O0.good,MIPS,llvm,Success,.01,8.37,0,0,0
CWE401_Memory_Leak__int64_t_calloc_03_riscv64_O2.good,UCB RISC-V,ghidra,Success,6.53,717.16,129,196,1531
CWE401_Memory_Leak__int64_t_calloc_03_riscv64_O2.good,UCB RISC-V,angr,Failure - Crash,.68,112.73,0,0,0
CWE401_Memory_Leak__int64_t_calloc_03_riscv64_O2.good,UCB RISC-V,bap,Success,9.59,28.20,0,701,729
CWE401_Memory_Leak__int64_t_calloc_03_riscv64_O2.good,UCB RISC-V,llvm,Success,.01,8.85,0,0,0
CWE401_Memory_Leak__char_malloc_45_armel_O3.good,ARM,ghidra,Success,64.89,978.69,1303,32077,735684
CWE401_Memory_Leak__char_malloc_45_armel_O3.good,ARM,angr,Success,21.84,512.19,3664,33557,657034
CWE401_Memory_Leak__char_malloc_45_armel_O3.good,ARM,bap,Success,40.81,28.81,0,123832,219538
CWE401_Memory_Leak__char_malloc_45_armel_O3.good,ARM,llvm,Success,.01,8.72,0,0,0
CWE401_Memory_Leak__char_malloc_08_mips_Os.bad,MIPS,ghidra,Success,8.03,771.71,108,169,2585
CWE401_Memory_Leak__char_malloc_08_mips_Os.bad,MIPS,angr,Success,.99,133.69,106,194,2767
CWE401_Memory_Leak__char_malloc_08_mips_Os.bad,MIPS,bap,Success,4.31,28.78,0,876,853
CWE401_Memory_Leak__char_malloc_08_mips_Os.bad,MIPS,llvm,Success,.01,8.37,0,0,0
CWE401_Memory_Leak__int_realloc_07_armel_O2.bad,ARM,ghidra,Success,65.34,961.43,1304,32075,735542
CWE401_Memory_Leak__int_realloc_07_armel_O2.bad,ARM,angr,Success,22.41,510.53,3618,33646,657403
CWE401_Memory_Leak__int_realloc_07_armel_O2.bad,ARM,bap,Success,40.98,28.57,0,123734,219384
CWE401_Memory_Leak__int_realloc_07_armel_O2.bad,ARM,llvm,Success,.01,8.80,0,0,0
CWE401_Memory_Leak__char_malloc_12_riscv64_O3.bad,UCB RISC-V,ghidra,Success,7.88,738.40,127,210,1709
CWE401_Memory_Leak__char_malloc_12_riscv64_O3.bad,UCB RISC-V,angr,Failure - Crash,.69,112.51,0,0,0
CWE401_Memory_Leak__char_malloc_12_riscv64_O3.bad,UCB RISC-V,bap,Success,4.35,28.13,0,778,811
CWE401_Memory_Leak__char_malloc_12_riscv64_O3.bad,UCB RISC-V,llvm,Success,.01,8.30,0,0,0
